dropout,cov_heads,cov_emb,factor,lr,bs,grad_clip,enc_length,n_params,train_end,val_loss,test_loss,seconds_training,path
0.1,4,32,2,0.01,256,1,28,72932,1706,0.864047646522522,0.8687678575515747,796.016224,hp_optim/models/Walmart/HNAM/lightning_logs/version_28/checkpoints/model-00-0.86.ckpt
0.1,4,32,2,0.01,256,1,28,72932,1737,0.8585163354873657,0.8482601642608643,1002.303074,hp_optim/models/Walmart/HNAM/lightning_logs/version_29/checkpoints/model-05-0.86.ckpt
0.1,1,8,4,0.001,256,100,84,8924,1706,0.8492416739463806,0.8635389804840088,919.74151,hp_optim/models/Walmart/HNAM/lightning_logs/version_30/checkpoints/model-08-0.85.ckpt
0.1,1,8,4,0.001,256,100,84,8924,1737,0.8570423126220703,0.8377268314361572,752.036031,hp_optim/models/Walmart/HNAM/lightning_logs/version_31/checkpoints/model-02-0.86.ckpt
0.3,1,64,1,0.001,128,1,84,213316,1706,0.8521460294723511,0.8680380582809448,1102.166424,hp_optim/models/Walmart/HNAM/lightning_logs/version_32/checkpoints/model-00-0.85.ckpt
0.3,1,64,1,0.001,128,1,84,213316,1737,0.8742316961288452,0.841064989566803,1140.577312,hp_optim/models/Walmart/HNAM/lightning_logs/version_33/checkpoints/model-00-0.87.ckpt
0.5,1,32,2,0.001,128,100,84,72932,1706,0.8538450002670288,0.8553621172904968,2237.305097,hp_optim/models/Walmart/HNAM/lightning_logs/version_34/checkpoints/model-00-0.85.ckpt
0.5,1,32,2,0.001,128,100,84,72932,1737,0.8582970499992371,0.831805944442749,2308.947969,hp_optim/models/Walmart/HNAM/lightning_logs/version_35/checkpoints/model-00-0.86.ckpt
0.5,4,8,2,0.001,128,0.1,84,7388,1706,0.8523952960968018,0.8618581295013428,-2194.993905,hp_optim/models/Walmart/HNAM/lightning_logs/version_36/checkpoints/model-06-0.85.ckpt
0.5,4,8,2,0.001,128,0.1,84,7388,1737,0.8590922355651855,0.8343868851661682,1236.760909,hp_optim/models/Walmart/HNAM/lightning_logs/version_37/checkpoints/model-02-0.86.ckpt
0.1,1,8,1,0.01,256,1,84,6620,1706,0.8516113758087158,0.8678898215293884,799.303363,hp_optim/models/Walmart/HNAM/lightning_logs/version_38/checkpoints/model-04-0.85.ckpt
0.1,1,8,1,0.01,256,1,84,6620,1737,0.8548400402069092,0.8397746086120605,724.81417,hp_optim/models/Walmart/HNAM/lightning_logs/version_39/checkpoints/model-01-0.85.ckpt
