epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,0,,,0.611161470413208,3.937047243118286,0.8182792663574219,1.0840007066726685,0.8182792663574219
0,49,,0.7977705001831055,,,,,
0,99,,0.8082175850868225,,,,,
0,149,,0.8020875453948975,,,,,
0,199,,0.829743504524231,,,,,
0,249,,0.8205468058586121,,,,,
0,299,,0.799123227596283,,,,,
0,349,,0.848932147026062,,,,,
0,399,,0.8440638780593872,,,,,
0,449,,0.7767616510391235,,,,,
0,499,,0.8200967311859131,,,,,
0,549,,0.7910743355751038,,,,,
0,599,,0.816111147403717,,,,,
0,649,,0.8077515959739685,,,,,
0,699,,0.7962640523910522,,,,,
0,749,,0.798103928565979,,,,,
0,799,,0.8542597889900208,,,,,
0,849,,0.832574188709259,,,,,
0,899,,0.8167564868927002,,,,,
0,949,,0.8148666620254517,,,,,
0,999,,0.8175423741340637,,,,,
0,1049,,0.8076145648956299,,,,,
0,1099,,0.7817564606666565,,,,,
0,1149,,0.7965056896209717,,,,,
0,1199,,0.8521180748939514,,,,,
0,1249,,0.8169019818305969,,,,,
0,1299,,0.7813894152641296,,,,,
0,1349,,0.8221450448036194,,,,,
0,1399,,0.8100976347923279,,,,,
0,1449,,0.8230186700820923,,,,,
0,1499,,0.7949113249778748,,,,,
0,1549,,0.7423219680786133,,,,,
0,1599,,0.7795000076293945,,,,,
0,1649,,0.7799193263053894,,,,,
0,1699,,0.7983372807502747,,,,,
0,1703,,,0.6176156997680664,3.834449291229248,0.8299837708473206,1.0950491428375244,0.8299837708473206
0,1703,0.8108123540878296,,,,,,
1,1749,,0.8420662879943848,,,,,
1,1799,,0.8000333309173584,,,,,
1,1849,,0.8031821846961975,,,,,
1,1899,,0.7987439036369324,,,,,
1,1949,,0.7988860011100769,,,,,
1,1999,,0.7884249091148376,,,,,
1,2049,,0.7899752855300903,,,,,
1,2099,,0.799863874912262,,,,,
1,2149,,0.8317985534667969,,,,,
1,2199,,0.8060253262519836,,,,,
1,2249,,0.81474369764328,,,,,
1,2299,,0.7901248335838318,,,,,
1,2349,,0.7934586405754089,,,,,
1,2399,,0.8422637581825256,,,,,
1,2449,,0.8200749158859253,,,,,
1,2499,,0.8370527625083923,,,,,
1,2549,,0.849782407283783,,,,,
1,2599,,0.8193537592887878,,,,,
1,2649,,0.8118974566459656,,,,,
1,2699,,0.7892993688583374,,,,,
1,2749,,0.8278689980506897,,,,,
1,2799,,0.8717821836471558,,,,,
1,2849,,0.8147683143615723,,,,,
1,2899,,0.8131919503211975,,,,,
1,2949,,0.7976899147033691,,,,,
1,2999,,0.7929961681365967,,,,,
1,3049,,0.80016028881073,,,,,
1,3099,,0.803779125213623,,,,,
1,3149,,0.8020190596580505,,,,,
1,3199,,0.8287009000778198,,,,,
1,3249,,0.8131207227706909,,,,,
1,3299,,0.7837159633636475,,,,,
1,3349,,0.8047135472297668,,,,,
1,3399,,0.7961673736572266,,,,,
1,3407,,,0.617876410484314,3.7650914192199707,0.8308225274085999,1.0912837982177734,0.8308225274085999
1,3407,0.8080369234085083,,,,,,
2,3449,,0.8412866592407227,,,,,
2,3499,,0.7713868021965027,,,,,
2,3549,,0.844935417175293,,,,,
2,3599,,0.8385856747627258,,,,,
2,3649,,0.8143720030784607,,,,,
2,3699,,0.8400523662567139,,,,,
2,3749,,0.8051362037658691,,,,,
2,3799,,0.8111434578895569,,,,,
2,3849,,0.816680908203125,,,,,
2,3899,,0.7860636115074158,,,,,
2,3949,,0.8088463544845581,,,,,
2,3999,,0.8198499083518982,,,,,
2,4049,,0.8044756054878235,,,,,
2,4099,,0.8009372353553772,,,,,
2,4149,,0.7860869765281677,,,,,
2,4199,,0.8035736083984375,,,,,
2,4249,,0.8027775287628174,,,,,
2,4299,,0.8459874391555786,,,,,
2,4349,,0.7767034769058228,,,,,
2,4399,,0.7736334800720215,,,,,
2,4449,,0.7919914126396179,,,,,
2,4499,,0.7867441177368164,,,,,
2,4549,,0.7968491315841675,,,,,
2,4599,,0.8375563025474548,,,,,
2,4649,,0.7893054485321045,,,,,
2,4699,,0.7878756523132324,,,,,
2,4749,,0.8376452922821045,,,,,
2,4799,,0.7963665723800659,,,,,
2,4849,,0.8227721452713013,,,,,
2,4899,,0.786212682723999,,,,,
2,4949,,0.800292432308197,,,,,
2,4999,,0.7932639122009277,,,,,
2,5049,,0.8058046698570251,,,,,
2,5099,,0.7706916928291321,,,,,
2,5111,,,0.6173791885375977,3.669943332672119,0.8336598873138428,1.0895335674285889,0.8336598873138428
2,5111,0.805591881275177,,,,,,
3,5149,,0.8339334726333618,,,,,
3,5199,,0.8319255113601685,,,,,
3,5249,,0.8036817908287048,,,,,
3,5299,,0.8174619078636169,,,,,
3,5349,,0.8058990836143494,,,,,
3,5399,,0.8066083192825317,,,,,
3,5449,,0.8017997741699219,,,,,
3,5499,,0.8144431710243225,,,,,
3,5549,,0.8033660650253296,,,,,
3,5599,,0.7894397377967834,,,,,
3,5649,,0.8162822127342224,,,,,
3,5699,,0.8190312385559082,,,,,
3,5749,,0.8135011196136475,,,,,
3,5799,,0.7783631682395935,,,,,
3,5849,,0.8160638213157654,,,,,
3,5899,,0.7942153215408325,,,,,
3,5949,,0.7947207093238831,,,,,
3,5999,,0.7484456300735474,,,,,
3,6049,,0.8034880757331848,,,,,
3,6099,,0.796419084072113,,,,,
3,6149,,0.7962915301322937,,,,,
3,6199,,0.7928056716918945,,,,,
3,6249,,0.8102858066558838,,,,,
3,6299,,0.8062880635261536,,,,,
3,6349,,0.8102309107780457,,,,,
3,6399,,0.8364994525909424,,,,,
3,6449,,0.845496654510498,,,,,
3,6499,,0.7940776348114014,,,,,
3,6549,,0.788590133190155,,,,,
3,6599,,0.8149641752243042,,,,,
3,6649,,0.8271063566207886,,,,,
3,6699,,0.8506511449813843,,,,,
3,6749,,0.7864245176315308,,,,,
3,6799,,0.7848463654518127,,,,,
3,6815,,,0.6174633502960205,3.854583501815796,0.8288534879684448,1.0876173973083496,0.8288534879684448
3,6815,0.8032547235488892,,,,,,
4,6849,,0.8133374452590942,,,,,
4,6899,,0.7873774170875549,,,,,
4,6949,,0.7981982231140137,,,,,
4,6999,,0.7978975176811218,,,,,
4,7049,,0.8115295171737671,,,,,
4,7099,,0.8251967430114746,,,,,
4,7149,,0.7749098539352417,,,,,
4,7199,,0.7819414734840393,,,,,
4,7249,,0.8021146059036255,,,,,
4,7299,,0.7999177575111389,,,,,
4,7349,,0.7927011251449585,,,,,
4,7399,,0.8231807947158813,,,,,
4,7449,,0.8099201321601868,,,,,
4,7499,,0.7748862504959106,,,,,
4,7549,,0.8418439030647278,,,,,
4,7599,,0.8317784667015076,,,,,
4,7649,,0.7707260251045227,,,,,
4,7699,,0.7991390228271484,,,,,
4,7749,,0.810014545917511,,,,,
4,7799,,0.7812656164169312,,,,,
4,7849,,0.8171866536140442,,,,,
4,7899,,0.8054391741752625,,,,,
4,7949,,0.8303548097610474,,,,,
4,7999,,0.7865653038024902,,,,,
4,8049,,0.7897427082061768,,,,,
4,8099,,0.7995218634605408,,,,,
4,8149,,0.772271454334259,,,,,
4,8199,,0.7965556383132935,,,,,
4,8249,,0.7800185084342957,,,,,
4,8299,,0.7879593372344971,,,,,
4,8349,,0.7827594876289368,,,,,
4,8399,,0.7843319773674011,,,,,
4,8449,,0.7796621322631836,,,,,
4,8499,,0.7930359840393066,,,,,
4,8519,,,0.6231346130371094,3.518606424331665,0.839139997959137,1.0985915660858154,0.839139997959137
4,8519,0.8010047078132629,,,,,,
5,8549,,0.7943559885025024,,,,,
5,8599,,0.7775115966796875,,,,,
5,8649,,0.7842873334884644,,,,,
5,8699,,0.8030391335487366,,,,,
5,8749,,0.8036279082298279,,,,,
5,8799,,0.7770435214042664,,,,,
5,8849,,0.7872386574745178,,,,,
5,8899,,0.8245628476142883,,,,,
5,8949,,0.7852953672409058,,,,,
5,8999,,0.8100326061248779,,,,,
5,9049,,0.8267145752906799,,,,,
5,9099,,0.7817056179046631,,,,,
5,9149,,0.7888652682304382,,,,,
5,9199,,0.8140394687652588,,,,,
5,9249,,0.8560211658477783,,,,,
5,9299,,0.7942375540733337,,,,,
5,9349,,0.8441463112831116,,,,,
5,9399,,0.8194281458854675,,,,,
5,9449,,0.7705327868461609,,,,,
5,9499,,0.8074232339859009,,,,,
5,9549,,0.7889978289604187,,,,,
5,9599,,0.790610671043396,,,,,
5,9649,,0.8343568444252014,,,,,
5,9699,,0.8166101574897766,,,,,
5,9749,,0.773147702217102,,,,,
5,9799,,0.7872371673583984,,,,,
5,9849,,0.8340015411376953,,,,,
5,9899,,0.7932794690132141,,,,,
5,9949,,0.8310660123825073,,,,,
5,9999,,0.8137174248695374,,,,,
5,10049,,0.8222177028656006,,,,,
5,10099,,0.8012973070144653,,,,,
5,10149,,0.769548237323761,,,,,
5,10199,,0.8183629512786865,,,,,
5,10223,,,0.6228445172309875,4.012761116027832,0.8350428342819214,1.0958870649337769,0.8350428342819214
5,10223,0.7991348505020142,,,,,,
6,10249,,0.7931981682777405,,,,,
6,10299,,0.7818830013275146,,,,,
6,10349,,0.7698614597320557,,,,,
6,10399,,0.7954211831092834,,,,,
6,10449,,0.8430192470550537,,,,,
6,10499,,0.8090536594390869,,,,,
6,10549,,0.7781063914299011,,,,,
6,10599,,0.7915422916412354,,,,,
6,10649,,0.7876113653182983,,,,,
6,10699,,0.7698898911476135,,,,,
6,10749,,0.769947350025177,,,,,
6,10799,,0.7657303214073181,,,,,
6,10849,,0.8017262816429138,,,,,
6,10899,,0.7641125917434692,,,,,
6,10949,,0.7661645412445068,,,,,
6,10999,,0.7858346104621887,,,,,
6,11049,,0.7588767409324646,,,,,
6,11099,,0.8431580662727356,,,,,
6,11149,,0.8167040348052979,,,,,
6,11199,,0.8005576133728027,,,,,
6,11249,,0.7821630239486694,,,,,
6,11299,,0.7912275791168213,,,,,
6,11349,,0.7601273059844971,,,,,
6,11399,,0.8342983722686768,,,,,
6,11449,,0.8028713464736938,,,,,
6,11499,,0.7935965061187744,,,,,
6,11549,,0.780437707901001,,,,,
6,11599,,0.7619808316230774,,,,,
